l,t
1000,17.524581909179688
2000,29.977313995361328
3000,42.33009886741638
4000,54.826223373413086
5000,67.12500357627869
6000,79.62340307235718
7000,92.05348134040833
8000,104.51331114768982
9000,118.40244579315186
10000,132.84727692604065
11000,145.1467249393463
12000,157.45864033699036
13000,169.80406594276428
14000,182.69091057777405
15000,195.13517570495605
16000,207.78243780136108
17000,220.65019583702087
18000,233.3509681224823
19000,245.819153547287
20000,259.9509937763214
