r,l,t
1147.7481441497803,151,7.072427034378052
2756.6636066436768,566,13.991047382354736
1927.3896985054016,775,23.61898899078369
2777.3437371253967,472,29.421995401382446
1180.8363761901855,186,31.74917244911194
2735.983470916748,438,37.1606662273407
1929.4577469825745,746,46.47813367843628
2711.1672673225403,712,55.383004903793335
1904.6415405273438,526,61.85484504699707
1929.4576983451843,676,70.15592670440674
1927.389702796936,891,81.36082935333252
2463.0054993629456,438,86.79361820220947
1929.4577269554138,630,94.58660888671875
2738.0514945983887,213,97.2270655632019
1269.7610125541687,113,98.69382309913635
1929.4577074050903,791,109.82793879508972
2682.2150955200195,330,114.12916111946106
1929.4577116966248,677,123.01028680801392
2469.20955657959,520,130.9437894821167
2756.663619041443,261,134.20980286598206
1929.4576988220215,920,145.52075362205505
1923.253647327423,746,154.6986367702484
1929.4576892852783,808,164.7031228542328
2709.0992527008057,851,175.1131546497345
2775.2757320404053,275,178.64973258972168
2481.617654800415,331,183.22665643692017
1271.8290257453918,121,184.74822616577148
1929.4577326774597,991,197.04627537727356
1201.5165305137634,206,199.6586172580719
2752.527594089508,452,205.41262030601501
2746.3235478401184,295,209.146502494812
2479.5496282577515,234,212.00585842132568
2775.275788784027,232,215.0711328983307
2750.459562778473,233,218.21903443336487
2767.0036759376526,317,222.28533005714417
2750.4595799446106,399,227.12016892433167
1002.9870982170105,198,229.75519394874573
2690.4871287345886,638,237.82054924964905
1929.457712173462,678,246.28154492378235
2756.663589954376,546,253.03549766540527
1168.428294658661,135,255.18783235549927
